,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
1,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
2,4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
3,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
4,6,Tetris,GB,1989,Strategy,Nintendo,23.2,2.26,4.22,0.58,30.26
5,10,Duck Hunt,NES,1984,Action,Nintendo,26.93,0.63,0.28,0.47,28.31
6,11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76
7,12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
8,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
9,14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
10,15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
12,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
13,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
15,21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
16,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
17,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
18,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
19,27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
20,28,Brain Age 2: More Training in Minutes a Day,DS,2005,Strategy,Nintendo,3.44,5.36,5.32,1.18,15.3
21,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
22,30,Call of Duty: Modern Warfare 3,X360,2011,Action,Activision,9.03,4.28,0.13,1.32,14.76
23,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
24,32,Call of Duty: Black Ops,X360,2010,Action,Activision,9.67,3.73,0.11,1.13,14.64
25,33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
26,34,Call of Duty: Black Ops 3,PS4,2015,Action,Activision,5.77,5.81,0.35,2.31,14.24
27,35,Call of Duty: Black Ops II,PS3,2012,Action,Activision,4.99,5.88,0.65,2.52,14.03
28,36,Call of Duty: Black Ops II,X360,2012,Action,Activision,8.25,4.3,0.07,1.12,13.73
29,37,Call of Duty: Modern Warfare 2,X360,2009,Action,Activision,8.52,3.63,0.08,1.29,13.51
30,38,Call of Duty: Modern Warfare 3,PS3,2011,Action,Activision,5.54,5.82,0.49,1.62,13.46
31,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
32,40,Super Smash Bros. Brawl,Wii,2008,Action,Nintendo,6.75,2.61,2.66,1.02,13.04
33,41,Call of Duty: Black Ops,PS3,2010,Action,Activision,5.98,4.44,0.48,1.83,12.73
34,42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
35,43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
36,44,Halo 3,X360,2007,Action,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
37,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
38,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
39,48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
40,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
41,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
42,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
43,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
44,55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
45,56,Call of Duty: Modern Warfare 2,PS3,2009,Action,Activision,4.99,3.69,0.38,1.63,10.69
46,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
47,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
49,62,Call of Duty: Ghosts,X360,2013,Action,Activision,6.72,2.63,0.04,0.82,10.21
50,63,Halo: Reach,X360,2010,Action,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
51,64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
52,66,Halo 4,X360,2012,Action,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
53,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
54,68,Call of Duty: Ghosts,PS3,2013,Action,Activision,4.09,3.73,0.38,1.38,9.59
56,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
57,71,Call of Duty 4: Modern Warfare,X360,2007,Action,Activision,5.91,2.38,0.13,0.9,9.32
59,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
61,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
62,77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
63,78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
65,80,Halo 2,XB,2004,Action,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
67,82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
68,83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
69,84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
70,85,GoldenEye 007,N64,1997,Action,Nintendo,5.8,2.01,0.13,0.15,8.09
71,86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
72,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
73,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
74,89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
75,90,Pac-Man,2600,1982,Strategy,Atari,7.28,0.45,0,0.08,7.81
76,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
77,93,Star Wars Battlefront (2015),PS4,2015,Action,Electronic Arts,2.93,3.29,0.22,1.23,7.67
78,94,Call of Duty: Advanced Warfare,PS4,2014,Action,Activision,2.8,3.3,0.14,1.37,7.6
79,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
80,98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Action,Nintendo,3.24,1.35,2.42,0.43,7.45
81,99,Call of Duty: World at War,X360,2008,Action,Activision,4.79,1.9,0,0.69,7.37
82,100,Battlefield 3,X360,2011,Action,Electronic Arts,4.46,2.13,0.06,0.69,7.34
83,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
84,102,Call of Duty: Black Ops 3,XOne,2015,Action,Activision,4.52,2.09,0.01,0.67,7.3
86,104,Battlefield 3,PS3,2011,Action,Electronic Arts,2.85,2.93,0.35,1.1,7.23
87,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
88,106,Tekken 3,PS,1998,Action,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
89,108,Super Smash Bros. Melee,GC,2001,Action,Nintendo,4.41,1.04,1.39,0.22,7.07
90,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
91,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
92,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
94,113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
95,114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
96,115,Medal of Honor: Frontline,PS2,2002,Action,Electronic Arts,2.93,2.75,0.17,0.99,6.83
97,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
98,118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
99,119,Gears of War 2,X360,2008,Action,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
100,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
101,121,Call of Duty 4: Modern Warfare,PS3,2007,Action,Activision,3.1,2.3,0.28,1.04,6.72
102,122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
104,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
105,125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
106,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
107,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
108,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
109,130,Halo: Combat Evolved,XB,2001,Action,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
110,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
111,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
112,133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
113,134,Halo 3: ODST,X360,2009,Action,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
114,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
115,137,Street Fighter II: The World Warrior,SNES,1992,Action,Capcom,2.47,0.83,2.87,0.12,6.3
116,138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
117,139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
118,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
119,141,Gears of War 3,X360,2011,Action,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
120,142,Gears of War,X360,2006,Action,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
121,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
122,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
